[4140/300000] -- step:51703 -- avg_reward:0.1 -- best_reward:1.0  -- eps:0.795 -- time:0.0132
[4160/300000] -- step:51943 -- avg_reward:0.1 -- best_reward:1.0  -- eps:0.794 -- time:0.0137
[4180/300000] -- step:52183 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.793 -- time:0.0134
[4200/300000] -- step:52423 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.792 -- time:0.0126
[4220/300000] -- step:52663 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.792 -- time:0.0137
[4240/300000] -- step:52903 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.791 -- time:0.0136
[4260/300000] -- step:53143 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.79 -- time:0.0152
[4280/300000] -- step:53383 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.789 -- time:0.0134
[4300/300000] -- step:53672 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.788 -- time:0.003
[4320/300000] -- step:53968 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.787 -- time:0.0017
[4340/300000] -- step:54208 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.786 -- time:0.0018
[4360/300000] -- step:54448 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.786 -- time:0.003
[4380/300000] -- step:54688 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.785 -- time:0.0028
[4400/300000] -- step:54928 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.784 -- time:0.0018
[4420/300000] -- step:55168 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.783 -- time:0.002
[4440/300000] -- step:55408 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.782 -- time:0.0019
Saving model, best reward :3.0
[4460/300000] -- step:55754 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.781 -- time:0.0017
[4480/300000] -- step:55994 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.78 -- time:0.0018
[4500/300000] -- step:56234 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.779 -- time:0.0021
[4520/300000] -- step:56474 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.779 -- time:0.0017
[4540/300000] -- step:56763 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.778 -- time:0.0129
[4560/300000] -- step:57078 -- avg_reward:0.2 -- best_reward:2.0  -- eps:0.777 -- time:0.0018
[4580/300000] -- step:57318 -- avg_reward:0.2 -- best_reward:2.0  -- eps:0.776 -- time:0.0017
[4600/300000] -- step:57558 -- avg_reward:0.2 -- best_reward:2.0  -- eps:0.775 -- time:0.0029
